No,R,I,A,S,E,C,Group
10239,0.399,0.303,0.697,0.626,0.395,0.399,24
10240,0.399,0.356,0.509,0.526,0.434,0.414,24
10241,0.399,0.471,0.366,0.472,0.477,0.485,50
10242,0.399,0.498,0.557,0.566,0.51,0.541,14
10243,0.399,0.775,0.698,0.618,0.852,0.6,72
10244,0.399,0.3,0.497,0.642,0.541,0.363,24
10245,0.399,0.389,0.346,0.476,0.464,0.353,50
10246,0.399,0.525,0.505,0.575,0.653,0.614,66
10247,0.399,0.452,0.666,0.488,0.515,0.455,14
10248,0.399,0.447,0.506,0.643,0.707,0.803,22
10249,0.399,0.324,0.766,0.633,0.413,0.294,49
10250,0.399,0.477,0.739,0.6,0.672,0.656,66
10251,0.399,0.442,0.722,0.642,0.369,0.346,49
10252,0.399,0.531,0.676,0.513,0.437,0.557,14
10253,0.399,0.334,0.472,0.495,0.348,0.531,50
10254,0.399,0.432,0.423,0.475,0.367,0.462,50
10255,0.399,0.331,0.521,0.438,0.487,0.504,50
10256,0.399,0.726,0.473,0.513,0.541,0.421,55
10257,0.399,0.548,0.383,0.623,0.586,0.591,66
10258,0.399,0.531,0.485,0.578,0.764,0.667,22
10259,0.399,0.606,0.368,0.406,0.393,0.414,50
10260,0.399,0.479,0.333,0.551,0.577,0.644,66
10261,0.399,0.378,0.48,0.497,0.412,0.431,50
10262,0.399,0.264,0.742,0.659,0.522,0.333,71
10263,0.399,0.47,0.493,0.426,0.393,0.457,50
10264,0.399,0.354,0.507,0.625,0.576,0.487,25
10265,0.399,0.368,0.465,0.417,0.393,0.35,28
10266,0.399,0.338,0.433,0.408,0.404,0.403,50
10267,0.399,0.496,0.647,0.566,0.564,0.549,14
10268,0.399,0.343,0.358,0.581,0.548,0.519,25
10269,0.399,0.343,0.448,0.433,0.398,0.331,15
10270,0.399,0.287,0.301,0.432,0.527,0.419,50
10271,0.399,0.359,0.626,0.451,0.413,0.362,24
10272,0.399,0.411,0.569,0.524,0.447,0.453,24
10273,0.399,0.515,0.387,0.626,0.486,0.327,50
10274,0.399,0.333,0.503,0.482,0.349,0.298,15
10275,0.399,0.484,0.813,0.692,0.509,0.353,60
10276,0.399,0.354,0.58,0.505,0.478,0.441,24
10277,0.399,0.739,0.548,0.54,0.538,0.667,55
10278,0.399,0.465,0.491,0.761,0.534,0.795,22
10279,0.399,0.45,0.88,0.649,0.57,0.496,60
10280,0.399,0.335,0.816,0.674,0.598,0.688,58
10281,0.399,0.319,0.386,0.656,0.361,0.56,20
10282,0.399,0.399,0.461,0.491,0.433,0.436,50
10283,0.399,0.363,0.308,0.555,0.515,0.439,50
10284,0.399,0.37,0.399,0.435,0.373,0.38,28
10285,0.399,0.382,0.524,0.466,0.406,0.435,50
10286,0.399,0.42,0.494,0.676,0.566,0.516,25
10287,0.399,0.408,0.572,0.675,0.582,0.682,66
10288,0.4,0.411,0.463,0.498,0.436,0.447,50
10289,0.4,0.447,0.372,0.532,0.505,0.426,50
10290,0.4,0.339,0.64,0.621,0.549,0.557,25
10291,0.4,0.572,0.369,0.465,0.489,0.448,14
10292,0.4,0.48,0.516,0.638,0.609,0.573,66
10293,0.4,0.444,0.464,0.467,0.421,0.379,50
10294,0.4,0.331,0.356,0.355,0.363,0.36,28
10295,0.4,0.484,0.543,0.538,0.499,0.467,14
10296,0.4,0.239,0.505,0.632,0.177,0.226,39
10297,0.4,0.305,0.598,0.55,0.352,0.358,15
10298,0.4,0.393,0.209,0.33,0.28,0.081,29
10299,0.4,0.337,0.458,0.664,0.29,0.277,15
10300,0.4,0.374,0.31,0.499,0.458,0.343,50
10301,0.4,0.385,0.425,0.308,0.353,0.48,28
10302,0.4,0.387,0.34,0.414,0.368,0.343,28
10303,0.4,0.433,0.459,0.489,0.436,0.473,50
10304,0.4,0.43,0.663,0.471,0.309,0.283,49
10305,0.4,0.602,0.516,0.553,0.535,0.499,14
10306,0.4,0.327,0.584,0.484,0.348,0.356,15
10307,0.4,0.33,0.797,0.491,0.475,0.549,24
10308,0.4,0.529,0.409,0.46,0.557,0.591,14
10309,0.4,0.469,0.705,0.519,0.575,0.774,66
10310,0.4,0.528,0.504,0.386,0.462,0.467,50
10311,0.4,0.366,0.46,0.456,0.44,0.44,50
10312,0.4,0.39,0.651,0.722,0.688,0.658,58
10313,0.4,0.303,0.262,0.27,0.325,0.356,29
10314,0.4,0.418,0.372,0.418,0.387,0.39,50
10315,0.4,0.332,0.324,0.508,0.451,0.504,50
10316,0.4,0.395,0.547,0.596,0.375,0.379,24
10317,0.4,0.334,0.52,0.628,0.451,0.44,24
10318,0.4,0.411,0.456,0.536,0.499,0.57,14
10319,0.4,0.379,0.484,0.437,0.405,0.408,50
10320,0.4,0.4,0.659,0.513,0.313,0.238,49
10321,0.4,0.272,0.586,0.625,0.377,0.289,41
10322,0.4,0.295,0.56,0.638,0.425,0.387,24
10323,0.4,0.298,0.61,0.578,0.369,0.427,24
10324,0.4,0.371,0.163,0.223,0.166,0.124,9
10325,0.4,0.567,0.683,0.805,0.547,0.45,60
10326,0.4,0.269,0.283,0.344,0.368,0.359,28
10327,0.4,0.357,0.566,0.641,0.459,0.416,24
10328,0.4,0.181,0.8,0.597,0.386,0.37,41
10329,0.4,0.779,0.736,0.737,0.516,0.394,33
10330,0.4,0.562,0.552,0.662,0.489,0.798,62
10331,0.4,0.355,0.509,0.613,0.434,0.436,24
10332,0.4,0.185,0.2,0.24,0.148,0.203,16
10333,0.4,0.531,0.657,0.729,0.739,0.634,22
10334,0.4,0.335,0.432,0.401,0.385,0.258,28
10335,0.4,0.621,0.426,0.512,0.525,0.51,14
10336,0.4,0.431,0.759,0.603,0.322,0.332,49
10337,0.4,0.29,0.33,0.324,0.33,0.334,28
10338,0.4,0.367,0.476,0.463,0.397,0.414,50
10339,0.4,0.246,0.649,0.695,0.499,0.568,10
10340,0.4,0.357,0.368,0.508,0.47,0.394,50
10341,0.4,0.232,0.699,0.359,0.425,0.421,53
10342,0.4,0.68,0.189,0.607,0.642,0.724,63
10343,0.4,0.391,0.653,0.682,0.575,0.436,60
10344,0.4,0.279,0.675,0.458,0.41,0.423,24
10345,0.4,0.241,0.467,0.385,0.381,0.368,15
10346,0.4,0.398,0.374,0.436,0.386,0.381,28
10347,0.4,0.485,0.409,0.255,0.493,0.482,18
10348,0.4,0.56,0.484,0.637,0.613,0.462,14
10349,0.4,0.243,0.347,0.334,0.301,0.214,29
10350,0.4,0.409,0.565,0.515,0.569,0.519,25
10351,0.4,0.342,0.449,0.428,0.381,0.368,28
10352,0.4,0.489,0.632,0.548,0.439,0.435,24
10353,0.4,0.529,0.26,0.518,0.453,0.396,50
10354,0.4,0.346,0.567,0.594,0.42,0.459,24
10355,0.4,0.503,0.572,0.579,0.551,0.507,14
10356,0.4,0.383,0.617,0.536,0.483,0.4,24
10357,0.4,0.337,0.341,0.437,0.321,0.341,28
10358,0.4,0.518,0.588,0.581,0.46,0.487,14
10359,0.4,0.581,0.459,0.45,0.79,0.522,63
10360,0.401,0.327,0.528,0.501,0.358,0.304,15
10361,0.401,0.449,0.524,0.549,0.524,0.448,14
10362,0.401,0.423,0.668,0.437,0.405,0.52,50
10363,0.401,0.377,0.406,0.482,0.481,0.453,50
10364,0.401,0.331,0.499,0.571,0.371,0.317,15
10365,0.401,0.454,0.495,0.586,0.392,0.506,50
10366,0.401,0.37,0.74,0.64,0.407,0.174,49
10367,0.401,0.477,0.38,0.32,0.289,0.361,28
10368,0.401,0.279,0.094,0.74,0.632,0.534,54
10369,0.401,0.525,0.696,0.506,0.663,0.536,66
10370,0.401,0.422,0.917,0.797,0.525,0.484,60
10371,0.401,0.509,0.877,0.798,0.629,0.593,70
10372,0.401,0.351,0.456,0.422,0.328,0.356,28
10373,0.401,0.398,0.365,0.539,0.533,0.472,14
10374,0.401,0.434,0.486,0.468,0.536,0.48,14
10375,0.401,0.421,0.677,0.579,0.468,0.443,24
10376,0.401,0.33,0.614,0.71,0.518,0.613,25
10377,0.401,0.452,0.18,0.355,0.322,0.465,28
10378,0.401,0.324,0.56,0.539,0.454,0.501,24
10379,0.401,0.263,0.504,0.539,0.339,0.337,15
10380,0.401,0.479,0.434,0.467,0.329,0.378,50
10381,0.401,0.427,0.73,0.537,0.281,0.333,49
10382,0.401,0.366,0.481,0.578,0.428,0.307,24
10383,0.401,0.403,0.545,0.529,0.43,0.439,24
10384,0.401,0.409,0.527,0.447,0.44,0.476,50
10385,0.401,0.304,0.4,0.325,0.34,0.317,28
10386,0.401,0.378,0.559,0.56,0.48,0.429,24
10387,0.401,0.392,0.725,0.496,0.429,0.328,24
10388,0.401,0.411,0.586,0.613,0.434,0.374,24
10389,0.401,0.419,0.256,0.607,0.658,0.719,54
10390,0.401,0.489,0.347,0.526,0.524,0.52,14
10391,0.401,0.487,0.485,0.467,0.511,0.483,14
10392,0.401,0.445,0.561,0.6,0.529,0.461,14
10393,0.401,0.365,0.311,0.398,0.429,0.344,28
10394,0.401,0.418,0.566,0.563,0.481,0.514,14
10395,0.401,0.588,0.805,0.515,0.739,0.523,70
10396,0.401,0.374,0.662,0.629,0.23,0.322,49
10397,0.401,0.554,0.522,0.47,0.511,0.519,14
10398,0.401,0.378,0.587,0.486,0.321,0.413,15
10399,0.401,0.379,0.254,0.344,0.253,0.278,29
10400,0.401,0.355,0.606,0.348,0.404,0.421,50
10401,0.401,0.223,0.505,0.482,0.312,0.208,35
10402,0.401,0.388,0.571,0.551,0.405,0.358,24
10403,0.401,0.664,0.518,0.626,0.517,0.437,14
10404,0.401,0.366,0.495,0.466,0.366,0.384,15
10405,0.401,0.387,0.469,0.436,0.42,0.42,50
10406,0.401,0.163,0.298,0.225,0.407,0.408,13
10407,0.401,0.472,0.542,0.569,0.483,0.416,14
10408,0.401,0.372,0.554,0.655,0.643,0.617,66
10409,0.401,0.386,0.068,0.439,0.404,0.485,28
10410,0.401,0.227,0.237,0.291,0.313,0.211,29
10411,0.401,0.548,0.49,0.443,0.563,0.435,14
10412,0.401,0.329,0.542,0.56,0.912,0.57,48
10413,0.401,0.455,0.541,0.512,0.553,0.618,66
10414,0.401,0.38,0.534,0.523,0.482,0.479,24
10415,0.401,0.397,0.393,0.502,0.484,0.49,50
10416,0.401,0.397,0.417,0.367,0.397,0.425,50
10417,0.401,0.326,0.72,0.802,0.61,0.505,58
10418,0.401,0.508,0.754,0.643,0.539,0.48,60
10419,0.401,0.416,0.725,0.775,0.555,0.55,60
10420,0.401,0.379,0.537,0.661,0.365,0.366,24
10421,0.401,0.675,0.211,0.461,0.456,0.392,17
10422,0.401,0.375,0.635,0.589,0.401,0.365,24
10423,0.401,0.407,0.393,0.472,0.494,0.507,50
10424,0.401,0.272,0.362,0.33,0.289,0.292,29
10425,0.401,0.363,0.46,0.573,0.647,0.545,25
10426,0.401,0.441,0.601,0.629,0.553,0.567,25
10427,0.401,0.398,0.746,0.732,0.595,0.445,60
10428,0.401,0.405,0.386,0.496,0.514,0.422,50
10429,0.401,0.42,0.496,0.55,0.565,0.686,66
10430,0.401,0.579,0.376,0.674,0.445,0.41,14
10431,0.401,0.499,0.5,0.505,0.539,0.691,66
10432,0.401,0.415,0.635,0.775,0.604,0.725,22
10433,0.401,0.477,0.487,0.534,0.474,0.409,50
10434,0.401,0.36,0.597,0.573,0.441,0.366,24
10435,0.401,0.494,0.514,0.684,0.536,0.507,14
10436,0.401,0.673,0.259,0.636,0.608,0.297,7
10437,0.401,0.405,0.391,0.375,0.333,0.311,28
10438,0.401,0.511,0.574,0.616,0.473,0.406,14
10439,0.401,0.423,0.43,0.466,0.572,0.593,5
10440,0.401,0.377,0.685,0.558,0.434,0.448,24
10441,0.401,0.569,0.435,0.573,0.481,0.479,14
10442,0.401,0.621,0.406,0.496,0.594,0.505,55
10443,0.401,0.599,0.474,0.522,0.905,0.724,63
10444,0.401,0.393,0.437,0.432,0.472,0.535,50
10445,0.401,0.322,0.444,0.465,0.466,0.496,50
10446,0.401,0.437,0.74,0.586,0.548,0.428,60
10447,0.401,0.382,0.58,0.481,0.357,0.415,50
10448,0.401,0.372,0.507,0.556,0.513,0.489,14
10449,0.401,0.405,0.419,0.315,0.43,0.445,50
10450,0.401,0.655,0.418,0.285,0.48,0.457,17
10451,0.401,0.349,0.73,0.665,0.669,0.76,22
10452,0.401,0.741,0.571,0.647,0.492,0.572,47
10453,0.401,0.237,0.675,0.472,0.315,0.27,67
10454,0.401,0.458,0.623,0.702,0.589,0.59,66
10455,0.402,0.228,0.201,0.272,0.204,0.298,29
10456,0.402,0.317,0.347,0.36,0.358,0.288,28
10457,0.402,0.467,0.369,0.515,0.541,0.585,14
10458,0.402,0.444,0.671,0.537,0.421,0.492,24
10459,0.402,0.263,0.192,0.188,0.219,0.292,29
10460,0.402,0.327,0.478,0.529,0.488,0.476,24
10461,0.402,0.449,0.411,0.388,0.417,0.351,50
10462,0.402,0.749,0.429,0.439,0.778,0.616,63
10463,0.402,0.484,0.627,0.554,0.583,0.469,14
10464,0.402,0.474,0.516,0.417,0.483,0.349,50
10465,0.402,0.452,0.407,0.446,0.425,0.446,50
10466,0.402,0.323,0.943,0.535,0.218,0.252,39
10467,0.402,0.545,0.45,0.568,0.501,0.458,14
10468,0.402,0.38,0.451,0.46,0.414,0.433,50
10469,0.402,0.67,0.7,0.714,0.595,0.536,33
10470,0.402,0.323,0.356,0.544,0.313,0.232,15
10471,0.402,0.349,0.375,0.339,0.342,0.306,28
10472,0.402,0.491,0.547,0.42,0.497,0.471,14
10473,0.402,0.378,0.379,0.519,0.384,0.39,50
10474,0.402,0.136,0.154,0.181,0.253,0.405,29
10475,0.402,0.323,0.445,0.338,0.248,0.286,29
10476,0.402,0.361,0.583,0.384,0.332,0.301,15
10477,0.402,0.387,0.444,0.443,0.395,0.513,50
10478,0.402,0.442,0.549,0.565,0.431,0.386,24
10479,0.402,0.431,0.55,0.557,0.504,0.548,14
10480,0.402,0.396,0.415,0.377,0.45,0.418,50
10481,0.402,0.397,0.544,0.489,0.47,0.508,14
10482,0.402,0.406,0.672,0.583,0.489,0.513,24
10483,0.402,0.478,0.437,0.513,0.464,0.42,50
10484,0.402,0.247,0.213,0.315,0.335,0.338,29
10485,0.402,0.45,0.44,0.636,0.54,0.593,25
10486,0.402,0.379,0.554,0.524,0.441,0.484,24
10487,0.402,0.384,0.454,0.623,0.422,0.39,24
10488,0.402,0.372,0.514,0.425,0.422,0.462,50
10489,0.402,0.397,0.226,0.488,0.531,0.6,5
10490,0.402,0.315,0.632,0.536,0.469,0.382,24
10491,0.402,0.482,0.294,0.497,0.49,0.514,14
10492,0.402,0.417,0.507,0.465,0.465,0.425,50
10493,0.402,0.393,0.433,0.465,0.395,0.401,50
10494,0.402,0.414,0.419,0.54,0.444,0.454,50
10495,0.402,0.404,0.571,0.535,0.431,0.471,24
10496,0.402,0.381,0.684,0.469,0.474,0.573,14
10497,0.402,0.371,0.498,0.639,0.448,0.386,24
10498,0.402,0.556,0.459,0.486,0.563,0.404,14
10499,0.402,0.619,0.265,0.437,0.517,0.534,55
10500,0.402,0.438,0.456,0.275,0.271,0.284,28
10501,0.402,0.334,0.416,0.383,0.355,0.381,28
10502,0.402,0.518,0.341,0.639,0.548,0.46,14
10503,0.402,0.317,0.782,0.61,0.405,0.366,24
10504,0.402,0.411,0.689,0.731,0.571,0.529,60
10505,0.402,0.385,0.512,0.603,0.478,0.37,24
10506,0.402,0.373,0.414,0.47,0.374,0.446,50
10507,0.402,0.25,0.496,0.513,0.416,0.519,20
10508,0.402,0.268,0.348,0.287,0.244,0.316,29
10509,0.402,0.646,0.352,0.539,0.473,0.262,7
10510,0.402,0.361,0.566,0.506,0.425,0.446,24
10511,0.402,0.348,0.568,0.605,0.392,0.362,24
10512,0.402,0.421,0.523,0.627,0.198,0.155,39
10513,0.402,0.596,0.51,0.632,0.681,0.519,66
10514,0.402,0.365,0.707,0.598,0.495,0.477,24
10515,0.402,0.629,0.435,0.451,0.575,0.439,14
10516,0.402,0.398,0.445,0.528,0.41,0.453,50
10517,0.402,0.433,0.562,0.618,0.504,0.546,14
10518,0.402,0.409,0.601,0.573,0.542,0.48,25
10519,0.402,0.15,0.828,0.43,0.546,0.422,53
10520,0.402,0.377,0.396,0.623,0.564,0.56,25
10521,0.402,0.453,0.59,0.611,0.619,0.625,66
10522,0.402,0.404,0.518,0.63,0.497,0.38,24
10523,0.402,0.552,0.553,0.474,0.485,0.464,14
10524,0.402,0.377,0.425,0.358,0.431,0.45,50
10525,0.402,0.463,0.569,0.524,0.408,0.463,50
10526,0.402,0.442,0.607,0.64,0.612,0.516,25
10527,0.402,0.267,0.197,0.384,0.392,0.305,28
10528,0.402,0.388,0.702,0.581,0.415,0.422,24
10529,0.402,0.383,0.336,0.58,0.368,0.284,15
10530,0.403,0.483,0.561,0.533,0.342,0.352,50
10531,0.403,0.762,0.489,0.569,0.608,0.564,55
10532,0.403,0.402,0.609,0.631,0.397,0.438,24
10533,0.403,0.363,0.616,0.329,0.367,0.257,28
10534,0.403,0.409,0.552,0.447,0.374,0.397,50
10535,0.403,0.491,0.26,0.205,0.125,0.219,9
10536,0.403,0.462,0.495,0.574,0.449,0.456,14
10537,0.403,0.4,0.695,0.554,0.396,0.39,24
10538,0.403,0.381,0.584,0.517,0.463,0.428,24
10539,0.403,0.422,0.533,0.545,0.509,0.496,14
10540,0.403,0.373,0.352,0.468,0.439,0.42,50
10541,0.403,0.433,0.543,0.588,0.559,0.478,14
10542,0.403,0.388,0.505,0.461,0.409,0.406,50
10543,0.403,0.439,0.644,0.774,0.529,0.532,60
10544,0.403,0.451,0.76,0.591,0.435,0.382,24
10545,0.403,0.262,0.505,0.511,0.374,0.322,15
10546,0.403,0.532,0.72,0.461,0.538,0.433,14
10547,0.403,0.647,0.328,0.486,0.447,0.453,31
10548,0.403,0.172,0.14,0.521,0.322,0.226,35
10549,0.403,0.378,0.254,0.638,0.447,0.302,50
10550,0.403,0.46,0.521,0.528,0.452,0.481,14
10551,0.403,0.399,0.375,0.325,0.42,0.38,28
10552,0.403,0.543,0.612,0.55,0.514,0.642,14
10553,0.403,0.805,0.556,0.761,0.703,0.444,33
10554,0.403,0.352,0.797,0.644,0.521,0.583,60
10555,0.403,0.381,0.555,0.686,0.675,0.69,22
10556,0.403,0.377,0.528,0.482,0.431,0.413,50
10557,0.403,0.354,0.481,0.556,0.421,0.552,24
10558,0.403,0.458,0.55,0.513,0.515,0.505,14
10559,0.403,0.754,0.448,0.368,0.662,0.716,63
10560,0.403,0.463,0.421,0.566,0.425,0.318,50
10561,0.403,0.681,0.621,0.62,0.585,0.467,33
10562,0.403,0.501,0.362,0.467,0.538,0.434,14
10563,0.403,0.471,0.674,0.681,0.486,0.397,60
10564,0.403,0.474,0.665,0.728,0.544,0.463,60
10565,0.403,0.37,0.544,0.572,0.516,0.508,25
10566,0.403,0.577,0.477,0.328,0.338,0.267,46
10567,0.403,0.532,0.691,0.574,0.43,0.471,14
10568,0.403,0.573,0.53,0.53,0.623,0.518,66
10569,0.403,0.281,0.761,0.587,0.44,0.322,24
10570,0.403,0.375,0.604,0.538,0.453,0.457,24
10571,0.403,0.362,0.486,0.535,0.418,0.401,24
10572,0.403,0.435,0.355,0.6,0.536,0.595,14
10573,0.403,0.362,0.34,0.405,0.542,0.561,5
10574,0.403,0.364,0.27,0.313,0.451,0.338,28
10575,0.403,0.46,0.417,0.422,0.365,0.347,28
10576,0.403,0.405,0.676,0.548,0.511,0.49,14
10577,0.403,0.141,0.427,0.322,0.23,0.136,4
10578,0.403,0.456,0.409,0.546,0.578,0.456,14
10579,0.403,0.472,0.522,0.651,0.66,0.673,66
10580,0.403,0.564,0.194,0.483,0.388,0.502,50
10581,0.403,0.289,0.319,0.745,0.508,0.242,21
10582,0.403,0.518,0.543,0.651,0.694,0.677,22
10583,0.403,0.334,0.682,0.676,0.521,0.542,25
10584,0.403,0.378,0.458,0.553,0.429,0.391,50
10585,0.403,0.343,0.517,0.435,0.38,0.547,50
10586,0.403,0.889,0.315,0.346,0.654,0.676,63
10587,0.403,0.463,0.653,0.679,0.657,0.479,60
10588,0.403,0.3,0.249,0.392,0.278,0.36,29
10589,0.403,0.561,0.385,0.61,0.463,0.513,14
10590,0.403,0.377,0.543,0.815,0.356,0.286,71
10591,0.403,0.511,0.465,0.421,0.455,0.422,50
10592,0.403,0.373,0.584,0.522,0.479,0.626,25
10593,0.403,0.416,0.498,0.585,0.477,0.501,14
10594,0.403,0.465,0.749,0.606,0.438,0.529,60
10595,0.403,0.464,0.323,0.43,0.554,0.49,5
10596,0.403,0.621,0.585,0.613,0.685,0.558,66
10597,0.403,0.45,0.416,0.478,0.437,0.448,50
10598,0.403,0.417,0.418,0.543,0.545,0.599,14
10599,0.403,0.409,0.421,0.526,0.424,0.424,50
10600,0.403,0.422,0.491,0.55,0.524,0.466,14
10601,0.403,0.333,0.443,0.49,0.665,0.366,42
10602,0.403,0.542,0.437,0.493,0.616,0.613,66
10603,0.403,0.625,0.302,0.61,0.568,0.645,55
10604,0.403,0.412,0.575,0.646,0.541,0.461,25
10605,0.403,0.411,0.401,0.404,0.403,0.371,50
10606,0.403,0.34,0.297,0.446,0.47,0.375,50
10607,0.403,0.48,0.487,0.475,0.501,0.462,14
10608,0.403,0.442,0.563,0.639,0.605,0.774,22
10609,0.403,0.47,0.43,0.618,0.165,0.145,39
10610,0.403,0.311,0.25,0.379,0.286,0.22,29
10611,0.403,0.683,0.462,0.572,0.564,0.386,7
10612,0.403,0.315,0.396,0.51,0.391,0.335,15
10613,0.403,0.432,0.48,0.525,0.457,0.406,50
10614,0.403,0.434,0.577,0.632,0.606,0.588,66
10615,0.403,0.438,0.377,0.446,0.406,0.444,50
10616,0.403,0.5,0.664,0.593,0.552,0.52,14
10617,0.403,0.445,0.473,0.537,0.464,0.464,14
10618,0.403,0.382,0.456,0.472,0.433,0.456,50
10619,0.403,0.348,0.696,0.49,0.416,0.348,24
10620,0.403,0.443,0.667,0.609,0.546,0.562,25
10621,0.403,0.459,0.659,0.768,0.462,0.335,71
10622,0.403,0.297,0.261,0.274,0.238,0.253,29
10623,0.403,0.419,0.512,0.423,0.499,0.53,14
10624,0.403,0.609,0.323,0.424,0.559,0.606,55
10625,0.403,0.365,0.405,0.392,0.391,0.374,28
10626,0.403,0.303,0.655,0.498,0.566,0.498,25
10627,0.403,0.439,0.66,0.564,0.44,0.411,24
10628,0.403,0.418,0.173,0.381,0.504,0.405,50
10629,0.403,0.538,0.536,0.522,0.594,0.58,66
10630,0.403,0.563,0.564,0.334,0.6,0.606,55
10631,0.403,0.345,0.612,0.492,0.343,0.386,15
10632,0.403,0.35,0.37,0.543,0.546,0.432,50
10633,0.403,0.608,0.444,0.522,0.552,0.672,66
10634,0.404,0.397,0.517,0.479,0.421,0.447,50
10635,0.404,0.468,0.641,0.567,0.547,0.533,14
10636,0.404,0.272,0.69,0.874,0.579,0.679,58
10637,0.404,0.492,0.428,0.598,0.573,0.42,14
10638,0.404,0.342,0.586,0.501,0.388,0.32,15
10639,0.404,0.424,0.416,0.344,0.525,0.405,50
10640,0.404,0.363,0.366,0.42,0.422,0.429,50
10641,0.404,0.398,0.494,0.5,0.4,0.382,50
10642,0.404,0.376,0.445,0.549,0.558,0.457,14
10643,0.404,0.63,0.532,0.605,0.591,0.591,66
10644,0.404,0.633,0.433,0.491,0.4,0.418,50
10645,0.404,0.495,0.729,0.713,0.502,0.457,60
10646,0.404,0.4,0.586,0.551,0.552,0.469,14
10647,0.404,0.25,0.359,0.465,0.357,0.32,15
10648,0.404,0.419,0.281,0.368,0.492,0.669,5
10649,0.404,0.394,0.559,0.627,0.612,0.587,25
10650,0.404,0.416,0.793,0.574,0.504,0.367,24
10651,0.404,0.448,0.405,0.436,0.478,0.475,50
10652,0.404,0.381,0.456,0.481,0.43,0.425,50
10653,0.404,0.43,0.427,0.454,0.366,0.397,50
10654,0.404,0.57,0.564,0.66,0.471,0.486,14
10655,0.404,0.309,0.514,0.478,0.5,0.424,24
10656,0.404,0.358,0.54,0.425,0.431,0.41,50
10657,0.404,0.411,0.462,0.472,0.382,0.441,50
10658,0.404,0.552,0.452,0.546,0.597,0.503,14
10659,0.404,0.268,0.607,0.667,0.431,0.291,41
10660,0.404,0.377,0.469,0.502,0.54,0.632,25
10661,0.404,0.406,0.597,0.489,0.517,0.678,25
10662,0.404,0.581,0.391,0.501,0.547,0.57,14
10663,0.404,0.2,0.598,0.592,0.452,0.706,40
10664,0.404,0.507,0.556,0.575,0.527,0.557,14
10665,0.404,0.58,0.747,0.46,0.415,0.118,65
10666,0.404,0.566,0.559,0.471,0.436,0.492,14
10667,0.404,0.29,0.787,0.492,0.358,0.343,49
10668,0.404,0.39,0.486,0.609,0.489,0.529,25
10669,0.404,0.436,0.45,0.558,0.52,0.494,14
10670,0.404,0.311,0.554,0.586,0.485,0.399,24
10671,0.404,0.618,0.481,0.521,0.462,0.472,14
10672,0.404,0.452,0.474,0.461,0.429,0.508,50
10673,0.404,0.084,0.623,0.55,0.134,0.161,4
10674,0.404,0.403,0.44,0.558,0.561,0.494,14
10675,0.404,0.263,0.536,0.449,0.402,0.412,15
10676,0.404,0.432,0.511,0.549,0.542,0.563,14
10677,0.404,0.337,0.412,0.558,0.537,0.516,25
10678,0.404,0.355,0.474,0.43,0.358,0.317,15
10679,0.404,0.376,0.567,0.463,0.42,0.506,50
10680,0.404,0.44,0.344,0.441,0.646,0.652,5
10681,0.404,0.42,0.502,0.529,0.51,0.582,14
10682,0.404,0.566,0.504,0.536,0.495,0.465,14
10683,0.404,0.525,0.596,0.551,0.58,0.565,66
10684,0.404,0.323,0.384,0.424,0.383,0.359,28
10685,0.404,0.396,0.377,0.345,0.369,0.36,28
10686,0.404,0.376,0.232,0.53,0.632,0.53,5
10687,0.404,0.364,0.376,0.525,0.402,0.431,50
10688,0.404,0.451,0.514,0.524,0.429,0.415,50
10689,0.404,0.403,0.422,0.522,0.67,0.714,66
10690,0.404,0.399,0.679,0.73,0.56,0.362,60
10691,0.404,0.435,0.487,0.605,0.498,0.461,14
10692,0.404,0.447,0.571,0.558,0.504,0.482,14
10693,0.404,0.355,0.69,0.667,0.414,0.379,24
10694,0.404,0.466,0.314,0.314,0.344,0.319,28
10695,0.404,0.327,0.295,0.351,0.269,0.254,29
10696,0.404,0.465,0.389,0.409,0.504,0.399,50
10697,0.404,0.452,0.465,0.52,0.643,0.619,66
10698,0.404,0.399,0.569,0.439,0.395,0.524,50
10699,0.404,0.148,0.281,0.396,0.303,0.315,29
10700,0.404,0.397,0.523,0.543,0.443,0.53,14
10701,0.404,0.664,0.628,0.584,0.642,0.607,66
10702,0.404,0.437,0.443,0.514,0.422,0.417,50
10703,0.404,0.439,0.429,0.522,0.421,0.447,50
10704,0.404,0.381,0.507,0.548,0.479,0.547,14
10705,0.404,0.393,0.701,0.442,0.433,0.419,24
10706,0.404,0.476,0.75,0.789,0.539,0.498,60
10707,0.404,0.375,0.307,0.357,0.388,0.402,28
10708,0.404,0.677,0.402,0.601,0.646,0.312,7
10709,0.404,0.373,0.516,0.524,0.474,0.402,24
10710,0.404,0.627,0.443,0.63,0.605,0.579,66
10711,0.404,0.395,0.425,0.548,0.413,0.483,50
10712,0.404,0.579,0.622,0.573,0.455,0.517,14
10713,0.404,0.324,0.591,0.425,0.402,0.366,15
10714,0.404,0.219,0.65,0.744,0.329,0.206,41
10715,0.404,0.353,0.492,0.442,0.424,0.582,50
10716,0.404,0.579,0.546,0.648,0.613,0.728,66
10717,0.404,0.346,0.378,0.29,0.531,0.292,11
10718,0.404,0.313,0.703,0.68,0.431,0.405,24
10719,0.404,0.473,0.478,0.44,0.404,0.425,50
10720,0.404,0.483,0.742,0.591,0.438,0.408,24
